,date,close_000166.XSHE,close_000416.XSHE,close_000563.XSHE,close_000567.XSHE,close_000617.XSHE,close_000627.XSHE,close_000686.XSHE,close_000712.XSHE,close_000728.XSHE
0,2017-01-03,6.07,11.47,7.17,38.07,18.64,7.76,12.23,23.19,13.07
1,2017-01-04,6.07,11.5,7.17,38.51,19.57,7.78,12.25,23.83,13.12
2,2017-01-05,6.07,11.66,7.17,39.67,20.55,7.79,12.17,23.53,13.02
3,2017-01-06,6.07,11.68,7.17,38.51,21.58,7.78,12.01,22.83,12.89
4,2017-01-09,6.07,11.67,7.17,38.67,22.66,7.75,12.14,22.47,12.86
5,2017-01-10,6.07,11.75,7.17,38.17,21.52,7.77,12.16,22.25,12.82
6,2017-01-11,6.07,11.52,7.17,39.07,21.53,7.71,11.94,21.88,12.73
7,2017-01-12,6.07,11.6,7.17,38.9,21.28,7.56,11.89,22.33,12.76
8,2017-01-13,6.07,12.12,7.17,38.58,21.28,7.53,11.85,21.85,12.57
9,2017-01-16,6.07,11.25,7.17,35.14,19.38,7.24,11.57,21.07,11.85
10,2017-01-17,6.07,11.07,7.17,33.8,18.24,7.25,11.6,21.05,11.72
11,2017-01-18,6.07,11.1,6.45,33.51,17.63,7.32,11.55,20.83,11.57
12,2017-01-19,6.07,11.09,5.81,33.31,17.51,7.25,11.56,21.7,11.72
13,2017-01-20,6.07,11.83,5.74,34.01,17.3,7.35,11.74,22.09,11.91
14,2017-01-23,6.07,11.77,5.71,34.13,17.37,7.36,11.84,22.07,11.94
15,2017-01-24,6.07,12.16,5.53,33.55,19.1,7.66,11.75,21.99,11.87
16,2017-01-25,6.07,12.0,5.74,33.27,18.91,7.64,11.79,22.2,11.9
17,2017-01-26,6.13,12.13,5.69,33.36,18.3,7.64,11.87,22.75,11.92
18,2017-02-03,6.07,11.78,5.74,33.58,18.64,7.48,11.79,22.88,11.79
19,2017-02-06,6.12,11.86,5.74,33.97,18.47,7.55,11.81,22.74,11.84
20,2017-02-07,6.12,12.02,5.89,34.4,19.42,7.51,11.69,23.37,11.64
21,2017-02-08,6.2,11.95,5.9,34.52,19.3,7.54,11.95,23.33,12.1
22,2017-02-09,6.2,12.45,5.9,34.58,19.41,7.6,11.93,23.34,12.11
23,2017-02-10,6.23,12.16,5.87,33.55,19.0,7.62,11.99,23.0,12.24
24,2017-02-13,6.25,12.11,5.9,33.83,18.19,7.68,12.05,22.94,12.73
25,2017-02-14,6.24,11.99,5.85,34.18,18.25,7.63,12.03,22.79,12.63
26,2017-02-15,6.21,11.9,5.99,34.68,17.78,7.56,11.96,20.99,12.56
27,2017-02-16,6.27,12.09,6.35,34.99,17.94,7.69,12.1,21.33,12.85
28,2017-02-17,6.27,11.75,6.2,33.8,17.19,7.79,12.14,21.4,12.77
29,2017-02-20,6.31,11.78,6.2,33.43,17.4,7.89,12.33,21.23,13.07
30,2017-02-21,6.34,11.96,6.2,33.71,18.26,7.88,12.38,21.32,13.43
31,2017-02-22,6.32,11.72,6.2,34.08,18.0,7.84,12.31,21.59,13.57
32,2017-02-23,6.25,11.62,5.93,33.45,17.74,7.71,12.1,21.28,13.29
33,2017-02-24,6.27,11.58,5.97,33.63,17.97,7.75,12.17,21.5,13.16
34,2017-02-27,6.2,11.6,5.88,33.4,17.89,7.6,11.98,21.21,12.86
35,2017-02-28,6.22,11.71,6.09,32.4,19.68,7.64,12.06,21.4,12.93
36,2017-03-01,6.21,11.68,6.08,33.94,21.65,7.65,12.08,21.2,12.87
37,2017-03-02,6.2,11.63,6.17,34.03,20.74,7.6,12.08,21.18,12.95
38,2017-03-03,6.14,11.2,6.36,33.51,21.32,7.64,11.95,20.77,12.81
39,2017-03-06,6.18,11.24,6.35,34.43,20.03,7.67,12.1,21.15,13.11
40,2017-03-07,6.17,11.36,6.23,35.91,19.23,7.76,12.06,21.21,13.04
41,2017-03-08,6.13,11.39,6.26,34.97,19.52,7.67,11.95,21.36,12.86
42,2017-03-09,6.09,11.32,6.11,34.9,19.17,7.52,11.79,21.39,12.72
43,2017-03-10,6.09,11.34,6.3,34.47,19.1,7.56,11.77,22.26,12.72
44,2017-03-13,6.12,11.32,6.35,33.97,19.33,7.56,11.85,22.12,12.89
45,2017-03-14,6.1,11.3,6.28,33.75,19.1,7.58,11.78,22.21,12.75
46,2017-03-15,6.11,11.28,6.21,33.29,18.82,7.59,11.8,22.51,12.77
47,2017-03-16,6.2,11.43,6.46,34.13,19.03,7.69,12.13,23.15,13.43
48,2017-03-17,6.11,11.25,6.27,33.43,19.18,7.58,11.83,22.46,12.91
49,2017-03-20,6.1,11.42,6.42,33.36,19.3,7.58,11.87,22.87,12.81
50,2017-03-21,6.08,11.45,6.42,33.46,19.35,7.55,11.78,23.54,12.73
51,2017-03-22,6.03,11.53,6.3,32.61,19.07,7.42,11.62,23.6,12.5
52,2017-03-23,6.04,11.37,6.15,32.38,18.37,7.39,11.65,23.62,12.61
53,2017-03-24,6.11,11.34,6.13,31.9,18.14,7.45,11.88,23.68,13.33
54,2017-03-27,6.11,10.86,6.15,32.27,18.32,7.45,11.8,23.39,13.23
55,2017-03-28,6.09,10.54,6.02,32.3,20.15,7.42,11.8,23.63,13.42
56,2017-03-29,6.05,10.42,5.96,32.05,20.05,7.55,11.7,23.0,13.34
57,2017-03-30,6.0,10.44,5.82,30.42,18.88,7.38,11.58,23.11,13.46
58,2017-03-31,6.02,10.4,5.88,30.58,18.43,7.48,11.64,23.08,13.15
59,2017-04-05,6.1,10.59,6.07,30.91,18.72,7.54,11.92,23.56,13.91
60,2017-04-06,6.09,10.44,6.06,30.76,18.84,7.52,11.85,24.03,13.87
